School Name,Reps,Date Visited,School Address,City,State,Zip Code,School Phone,School Type,Location,Lat,Long
Fairhill Elem,,,3001 Chichester Lane,Fairfax,VA,22031,703-208-8100,Elementary School,"3001 Chichester Lane, Fairfax, VA 22031",38.86976,-77.247883
Fairview Elem,,,5815 Ox Rd,Fairfax Station,VA,22039,703-503-3700,Elementary School,"5815 Ox Rd, Fairfax Station, VA 22039",38.7976311,-77.324218
Falls Church High,,11/17/16,7521 Jaguar Trail,Falls Church,VA,22042,703-207-4000,High School,"7521 Jaguar Trail, Falls Church, VA 22042",38.861485,-77.207432
Falls Church Trans Esol Center,,,7521 Jaguar Trail,Falls Church,VA,22042,,Alternative School,"7521 Jaguar Trail, Falls Church, VA 22042",38.861485,-77.207432
Flint Hill Elem,,,2444 Flint Hill Rd,Vienna,VA,22181,703-242-6100,Elementary School,"2444 Flint Hill Rd, Vienna, VA 22181",38.896129,-77.2847932
Floris Elem,,,2708 Centreville Rd,Herndon,VA,22171,703-561-2919,Elementary School,"2708 Centreville Rd, Herndon, VA 22171",38.935847,-77.414955
Forbes Place,,,8001 Forbes Pl,Springfield,VA,22151,703-426-3900,Administration Building,"8001 Forbes Pl, Springfield, VA 22151",38.8075925,-77.219645
Forest Edge Elem,,,1501 Becontree Lane,Reston,VA,22190,703-925-8000,Elementary School,"1501 Becontree Lane, Reston, VA 22190",38.9689881,-77.3295696
Forestdale Elem,,,6530 Elder Ave,Springfield,VA,22150,703-313-4300,Elementary School,"6530 Elder Ave, Springfield, VA 22150",38.776375,-77.169973
Forestville Elem,,,1085 Utterback Store Rd,Great Falls,VA,22066,703-404-6000,Elementary School,"1085 Utterback Store Rd, Great Falls, VA 22066",38.993538,-77.3289427
Fort Belvoir Primary Elem,,11/14/16,5970 Meeres Rd.,Ft Belvoir,VA,22060,703-781-2700,Elementary School,"5970 Meeres Rd., Ft Belvoir, VA 22060",38.7206996,-77.1430251
Fort Belvoir Upper Elem,,11/14/16,5980 Meeres Rd.,Ft Belvoir,VA,22060,571-982-1300,Elementary School,"5980 Meeres Rd., Ft Belvoir, VA 22060",38.7206177,-77.1435039
Fort Hunt Elem,,3/22/17,8832 Linton Lane,Alexandria,VA,22308,703-619-2600,Elementary School,"8832 Linton Lane, Alexandria, VA 22308",38.7190143,-77.0664814
Forte Center,,9/23/16,6800 B Industrial Rd,Springfield,VA,22151,703-658-3665,Center,"6800 B Industrial Rd, Springfield, VA 22151",38.798831,-77.180994
Forte Transportation,,,6800 B Industrial Rd,Springfield,VA,22151,703-658-3665,Center,"6800 B Industrial Rd, Springfield, VA 22151",38.798831,-77.180994
Foundations,,,12720 Lee Hwy,Fairfax,VA,22030,571-423-4360,Alternative School,"12720 Lee Hwy, Fairfax, VA 22030",38.8431216,-77.3869825
Fox Mill Elem,,,2611 Viking Dr,Herndon,VA,20171,703-262-2700,Elementary School,"2611 Viking Dr, Herndon, VA 20171",38.9275612,-77.3823231
Franconia Elem,,,6301 Beulah Street,Alexandria,VA,22310,703-822-2200,Elementary School,"6301 Beulah Street, Alexandria, VA 22310",38.781978,-77.1455409
Franklin Middle,,6/1/17,3300 Lees Corner Rd,Chantilly,VA,20151,703-904-5100,Middle School,"3300 Lees Corner Rd, Chantilly, VA 20151",38.9071034,-77.4205094
Franklin Sherman Elem,,,6633 Bawner Street,McLean,VA,22101,703-506-7900,Elementary School,"6633 Bawner Street, McLean, VA 22101",38.9352388,-77.1744371
Freedom Hill Elem,,6/2/17,1945 Lord Fairfax Rd,Vienna,VA,22182,(703) 506-7800,Elementary School,"1945 Lord Fairfax Rd, Vienna, VA 22182",38.9113061,-77.2297543
Frost Middle,,,4101 Picket Rd,Fairfax,VA,22032,703-426-5700,Middle School,"4101 Picket Rd, Fairfax, VA 22032",38.8364104,-77.2734014
Garfield Elem,,,7101 Old Keene Mill Rd,Springfield,VA,22150,703-923-2900,Elementary School,"7101 Old Keene Mill Rd, Springfield, VA 22150",38.777637,-77.190555
Gatehouse Administration Ctr 1,,3/17/17,8115 Gatehouse Road,Falls Church,VA,22042,571-423-1000,Administration Building,"8115 Gatehouse Road, Falls Church, VA 22042",38.8684236,-77.2240348
Glasgow Middle,,9/2/16,4101 Fairfax Pky,Alexandria,VA,22312,703-813-8700,Middle School,"4101 Fairfax Pky, Alexandria, VA 22312",38.8382369,-77.1407618
Glen Forest Elem,,,5829 Glen Forest Dr,Falls Church,VA,22041,703-578-8000,Elementary School,"5829 Glen Forest Dr, Falls Church, VA 22041",38.855511,-77.128619
Graham Rd Elem,,,2831 Graham Rd,Falls Church,VA,22042,703-226-2700,Elementary School,"2831 Graham Rd, Falls Church, VA 22042",38.8762545,-77.1907787
Graham Road Community Center,,,3036 Graham Rd,Falls Church,VA,22042,,Center,"3036 Graham Rd, Falls Church, VA 22042",38.867847,-77.1954093
Graham Road Trans Esol Center,,,3036 Graham Rd,Falls Church,VA,22042,,Center,"3036 Graham Rd, Falls Church, VA 22042",38.867847,-77.1954093
Great Falls Elem,,,701 Walker Rd,Great Falls,VA,22066,703-757-2100,Elementary School,"701 Walker Rd, Great Falls, VA 22066",39.001734,-77.291872
Greenbriar East Elem,,,13006 Pt Pleasant Dr,Fairfax,VA,22033,703-633-6400,Elementary School,"13006 Pt Pleasant Dr, Fairfax, VA 22033",38.871886,-77.394387
Greenbriar West Elem,,,13300 Poplar Tree Road,Fairfax,VA,22033,703-633-6700,Elementary School,"13300 Poplar Tree Road, Fairfax, VA 22033",38.87631,-77.4056828
Groveton Elem,,,6900 Harrison Lane,Alexandria,VA,22306,703-718-8000,Elementary School,"6900 Harrison Lane, Alexandria, VA 22306",38.7683739,-77.0949473
Gunston Elem,,,10100 Gunston Rd,Lorton,VA,22079,703-541-3600,Elementary School,"10100 Gunston Rd, Lorton, VA 22079",38.6849506,-77.2096953
Halley Elem,,,8850 Cross Chase Cir,Fairfax Station,VA,22039,703-551-5700,Elementary School,"8850 Cross Chase Cir, Fairfax Station, VA 22039",38.7177804,-77.2598232
Haycock Elem,,,6616 Haycock Rd,Falls Church,VA,22043,703-531-4000,Elementary School,"6616 Haycock Rd, Falls Church, VA 22043",38.904137,-77.173423
Hayfield Elem,,5/9/17,7633 Telegraph Rd,Alexandria,VA,22315,703-924-4500,Elementary School,"7633 Telegraph Rd, Alexandria, VA 22315",38.7491375,-77.1404527
Hayfield Secondary,,,7630 Telegraph Rd,Alexandria,VA,22315,703-924-7400,High School,"7630 Telegraph Rd, Alexandria, VA 22315",38.7501659,-77.1442648
Herndon Elem,,5/11/17,630 Dranesville Rd,Herndon,VA,20170,703-326-3100,Elementary School,"630 Dranesville Rd, Herndon, VA 20170",38.975934,-77.376103
Herndon High,,,700 Bennett St,Herndon,VA,20170,703-810-2200,High School,"700 Bennett St, Herndon, VA 20170",38.9861706,-77.3745261
Herndon Middle,,5/11/17,901 Locust St,Herndon,VA,20170,703-904-4800,Middle School,"901 Locust St, Herndon, VA 20170",38.9678355,-77.3919279
Herndon Satellite Maintenance,,,397 Herndon Parkway,Herndon,VA,20170,,Administration Building,"397 Herndon Parkway, Herndon, VA 20170",38.961257,-77.371518
Herndon Trans Esol Center,,,700 Bennett St,Herndon,VA,20170,703-810-2200,Center,"700 Bennett St, Herndon, VA 20170",38.9861706,-77.3745261
Hollin Meadows Elem,,,2310 Nordock Pl,Alexandria,VA,22306,703-718-8300,Elementary School,"2310 Nordock Pl, Alexandria, VA 22306",38.749891,-77.071415
Holmes Middle,,3/10/17,6525 Montrose St,Alexandria,VA,22312,703-658-5900,Middle School,"6525 Montrose St, Alexandria, VA 22312",38.815469,-77.162671
Hughes Middle,,,11401 Ridge Heights Rd,Reston,VA,22191,703-715-3600,Middle School,"11401 Ridge Heights Rd, Reston, VA 22191",38.9352989,-77.3385178
Hunt Valley Elem,,,7107 Sydenstricker Road,Springfield,VA,22152,703-913-8800,Elementary School,"7107 Sydenstricker Road, Springfield, VA 22152",38.7622032,-77.2436388
Hunters Wds Elem,,,2401 Colts Neck Rd,Reston,VA,22091,703-262-7400,Elementary School,"2401 Colts Neck Rd, Reston, VA 22091",38.9326099,-77.361282
Hutchison Elem,,,13209 Parcher Ave,Herndon,VA,22170,703-925-8300,Elementary School,"13209 Parcher Ave, Herndon, VA 22170",38.9613617,-77.4070042
Hybla Valley Elem,,4/6/17,3415 Lockheed Blvd,Alexandria,VA,22306,703-718-7000,Elementary School,"3415 Lockheed Blvd, Alexandria, VA 22306",38.7586153,-77.0898089
Instr Programs Support Center,,,6732 Industrial Rd,Springfield,VA,22151,703-916-6960,Administration Building,"6732 Industrial Rd, Springfield, VA 22151",38.7980422,-77.177539
Irving Middle,,12/14/16,8100 Old Keene Mill Rd,Springfield,VA,22152,703-912-4500,Middle School,"8100 Old Keene Mill Rd, Springfield, VA 22152",38.781796,-77.224444
Island Creek Elem,,,7855 Morning View Lane,Alexandria,VA,22315,571-642-6300,Elementary School,"7855 Morning View Lane, Alexandria, VA 22315",38.7456591,-77.1681109
Jefferson Tech High,,,6560 Braddock Rd,Alexandria,VA,22312,703-750-8300,High School,"6560 Braddock Rd, Alexandria, VA 22312",38.8186623,-77.1687627
Juvenile Detention Center,,,10650 Page Ave,Fairfax,VA,22030,703-246-2915,Alternative School,"10650 Page Ave, Fairfax, VA 22030",38.8448136,-77.3134338
Keene Mill Elem,,,6310 Bardu Ave,Springfield,VA,22152,703-644-4700,Elementary School,"6310 Bardu Ave, Springfield, VA 22152",38.7812997,-77.2213391
Kent Gardens Elem,,,1717 Melbourne Dr,McLean,VA,22101,703-394-5600,Elementary School,"1717 Melbourne Dr, McLean, VA 22101",38.9213988,-77.1752902
Key Center,,,6404 Franconia Rd,Springfield,VA,22150,703-313-4000,Center,"6404 Franconia Rd, Springfield, VA 22150",38.7800545,-77.1615657
Key Middle,,4/20/17,6402 Franconia Rd,Springfield,VA,22150,703-313-3900,Middle School,"6402 Franconia Rd, Springfield, VA 22150",38.7797388,-77.1617342
Kilmer Center,,,8102 Wolftrap Rd,Vienna,VA,22182,571-226-8440,Center,"8102 Wolftrap Rd, Vienna, VA 22182",38.9040021,-77.2252888
Kilmer Middle,,,8100 Wolftrap Rd,Vienna,VA,22182,703-846-8800,Middle School,"8100 Wolftrap Rd, Vienna, VA 22182",38.9029549,-77.2249886
Kings Glen Elem,,5/11/17,5401 Danbury Forest Dr,Springfield,VA,22151,703-239-4000,Elementary School,"5401 Danbury Forest Dr, Springfield, VA 22151",38.8037734,-77.2346407
Kings Park Elem,,,5400 Harrow Way,Springfield,VA,22151,703-426-7000,Elementary School,"5400 Harrow Way, Springfield, VA 22151",38.805025,-77.241604
Lake Anne Elem,,12/1/16,11510 North Shore Dr,Reston,VA,22190,703-326-3500,Elementary School,"11510 North Shore Dr, Reston, VA 22190",38.965279,-77.34678
Lake Braddock Secondary,,,9200 Burke Lake Rd,Burke,VA,22015,703-426-1800,High School,"9200 Burke Lake Rd, Burke, VA 22015",38.8035315,-77.2658405
Lane Elem,,,7137 Beulah St,Alexandria,VA,22315,703-924-7700,Elementary School,"7137 Beulah St, Alexandria, VA 22315",38.760525,-77.156889
Langley High,,,6520 Georgetown Pike,McLean,VA,22101,703-287-2700,High School,"6520 Georgetown Pike, McLean, VA 22101",38.9497633,-77.1666791
Lanier Middle,,,3801 Jermantown Rd,Fairfax,VA,22030,703-934-2400,Middle School,"3801 Jermantown Rd, Fairfax, VA 22030",38.859355,-77.328138
Laurel Hill ES,,,8390 Laurel Crest Drive,Lorton,VA,22079,703-551-5300,Elementary School,"8390 Laurel Crest Drive, Lorton, VA 22079",38.717367,-77.2333581
Laurel Ridge Elem,,,10110 Commonwealth Blvd,Fairfax,VA,22032,703-426-3700,Elementary School,"10110 Commonwealth Blvd, Fairfax, VA 22032",38.8140544,-77.2956951
Lee High,,8/31/17,6540 Franconia Rd,Springfield,VA,22150,703-924-8300,High School,"6540 Franconia Rd, Springfield, VA 22150",38.779857,-77.169821
Lees Corner Elem,,,13500 Hollinger Ave,Fairfax,VA,22033,703-227-3500,Elementary School,"13500 Hollinger Ave, Fairfax, VA 22033",38.8904106,-77.4111507
Lemon Road Elem,,,7230 Idylwood Rd,Falls Church,VA,22043,703-714-6400,Elementary School,"7230 Idylwood Rd, Falls Church, VA 22043",38.903948,-77.1950682
Liberty Middle,,5/31/17,6801 Union Mill Rd,Clifton,VA,20124,703-988-8100,Middle School,"6801 Union Mill Rd, Clifton, VA 20124",38.805535,-77.4177722
Little Run Elem,,,4511 Olley Lane,Fairfax,VA,22032,703-503-3500,Elementary School,"4511 Olley Lane, Fairfax, VA 22032",38.8262391,-77.2664221
London Towne Elem,,10/27/16,6100 Stone Rd,Centreville,VA,20120,703-227-5400,Elementary School,"6100 Stone Rd, Centreville, VA 20120",38.839629,-77.456534
Longfellow Middle,,,2000 Westmoreland St,Falls Church,VA,22043,703-533-2600,Middle School,"2000 Westmoreland St, Falls Church, VA 22043",38.9095401,-77.1745481
Lorton Center,,,8101 Lorton Rd,Lorton,VA,22079,703-446-2000,Center,"8101 Lorton Rd, Lorton, VA 22079",38.7039835,-77.2254392
Lorton Station Elem,,11/4/16,9298 Lewis Chapel Rd,Lorton,VA,22079,571-642-6000,Elementary School,"9298 Lewis Chapel Rd, Lorton, VA 22079",38.7066237,-77.2185083
Louise Archer Elem,,,324 Nutley St NW,Vienna,VA,22180,703-937-6200,Elementary School,"324 Nutley St NW, Vienna, VA 22180",38.898691,-77.2778821
Luther Jackson Middle,,,3020 Gallows Rd,Falls Church,VA,22042,703-204-8100,Middle School,"3020 Gallows Rd, Falls Church, VA 22042",38.8681917,-77.2293207
Lynbrook Elem,,4/26/17,5801 Backlick Road,Springfield,VA,22150,703-866-2940,Elementary School,"5801 Backlick Road, Springfield, VA 22150",38.7922646,-77.1856283
Madison High,,,2500 James Madison Rd,Vienna,VA,22181,703-319-2300,High School,"2500 James Madison Rd, Vienna, VA 22181",38.8959548,-77.2790009
Mantua Elem,,,9107 Horner Ct,Fairfax,VA,22031,703-645-6300,Elementary School,"9107 Horner Ct, Fairfax, VA 22031",38.847371,-77.259282
Marshall High,,3/17/17,7731 Leesburg Pike,Falls Church,VA,22043,703-714-5400,High School,"7731 Leesburg Pike, Falls Church, VA 22043",38.9051435,-77.2128744
Marshall Road Elem,,,730 Marshall Rd SW,Vienna,VA,22180,703-937-1500,Elementary School,"730 Marshall Rd SW, Vienna, VA 22180",38.8819159,-77.265843
Mason Crest Elementary,,,3705 Crest Drive,Annandale,VA,22003,571-226-2600,Elementary School,"3705 Crest Drive, Annandale, VA 22003",38.8425263,-77.1963579
McLean High,,10/4/16,1633 Davidson Rd,McLean,VA,22101,703-714-5700,High School,"1633 Davidson Rd, McLean, VA 22101",38.923381,-77.185141
McNair Elem,,,2499 Thomas Jefferson Dr,Herndon,VA,20171,703-793-4800,Elementary School,"2499 Thomas Jefferson Dr, Herndon, VA 20171",38.946255,-77.4046711
Merrifield Support,,,8435 Lee Highway,Merrifield,va,22031,571-982-1100,Center,"8435 Lee Highway, Merrifield, va 22031",38.8729462,-77.2382659
Montrose Alc,,,6525 Montrose St,Alexandria,VA,22312,,Alternative School,"6525 Montrose St, Alexandria, VA 22312",38.815469,-77.162671
Mosby Wds Elem,,,9819 Five Oaks Rd,Fairfax,VA,22031,703-937-1600,Elementary School,"9819 Five Oaks Rd, Fairfax, VA 22031",38.869889,-77.285946
Mount Eagle Elem,,,6116 N Kings Hwy,Alexandria,VA,22303,703-721-2100,Elementary School,"6116 N Kings Hwy, Alexandria, VA 22303",38.7848521,-77.0785749
Mount Vernon High,,,8515 Old Mt Vernon Rd,Alexandria,VA,22309,703-619-3100,High School,"8515 Old Mt Vernon Rd, Alexandria, VA 22309",38.726943,-77.092313
Mount Vernon Woods Elem,,5/26/17,4015 Fielding St,Alexandria,VA,22309,703-619-2800,Elementary School,"4015 Fielding St, Alexandria, VA 22309",38.7423898,-77.1001214
Mountain View Aim,,,5775 Spindle Ct,Centreville,VA,20121,703-227-2316,Alternative School,"5775 Spindle Ct, Centreville, VA 20121",38.8375962,-77.4254389
Mountain View Alc,,,5775 Spindle Ct,Centreville,VA,20121,703-227-2316,Alternative School,"5775 Spindle Ct, Centreville, VA 20121",38.8375962,-77.4254389
Nancy Sprague Technology Ctr,,4/27/17,4414 Holborn Ave,Annandale,VA,22003,703-503-7400,Center,"4414 Holborn Ave, Annandale, VA 22003",38.8268348,-77.2365024
Navy Elem,,,3500 West Ox Rd,Fairfax,VA,22033,703-262-7100,Elementary School,"3500 West Ox Rd, Fairfax, VA 22033",38.889246,-77.3787329
Newington Forest Elem,,3/9/17,8001 Newington Forest Ave,Springfield,VA,22153,703-923-2600,Elementary School,"8001 Newington Forest Ave, Springfield, VA 22153",38.7392158,-77.2403208
North Springfield Elem,,,7602 Heming Ct.,Springfield,VA,22151,703-658-5500,Elementary School,"7602 Heming Ct., Springfield, VA 22151",38.8018475,-77.2083482
Oak Hill Elem,,11/28/16,3210 Kinross Cir,Herndon,VA,20171,703-467-3500,Elementary School,"3210 Kinross Cir, Herndon, VA 20171",38.912927,-77.408489
